class,title,wiki
0,Psychogenic pruritus,psychogenic pruritus common manifestation chronic anxiety usually localized itch especially anogenital area.[1]:393401[2]
0,Hydrophthalmos,hydrophthalmos congenital form glaucoma.
0,Amino acid transport disorder,amino acid transport disorders medical conditions associated failure amino acids absorbed kidney intestine.
0,Adelaide Hanscom,adelaide hanscom leeson (25 november 1875  19 november 1931) early 20th-century artist photographer published first books using photography illustrate literary works.
0,trachoma,trachoma also called granular conjunctivitis egyptian ophthalmia[1] blinding trachoma infectious disease caused bacterium chlamydia trachomatis.[2] the infection causes roughening inner surface eyelids. this roughening lead pain eyes breakdown outer surface cornea eyes possibly blindness.[2]
0,Generalized granuloma annulare,generalized granuloma annulare skin condition unknown cause tending affect women fifth sixth decades presenting diffuse symmetrical papular annular eruption ten skin lesions often hundreds.[1]:703
0,adenovirus-36,human adenovirus 36 (hadv-36) ad-36 adv36 one 52 types adenoviruses known infect humans. ad-36 first isolated 1978 feces girl suffering diabetes enteritis[1] long recognized cause respiratory eye infections humans.[2] it first shown associated obesity chickens dr. nikhil dhurandhar.[3][4]
0,Adelobotrys panamensis,adelobotrys panamensis species plant melastomataceae family. it endemic mountains el cop cocl province panama. it threatened habitat loss.
0,SOD1,1azv 1ba9 1dsw 1fun 1hl4 1hl5 1kmg 1l3n 1mfm 1n18 1n19 1oez 1ozt 1ozu 1p1v 1ptz 1pu0 1rk7 1sos 1spd 1uxl 1uxm 2af2 2c9s 2c9u 2c9v 2gbt 2gbu 2gbv 2lu5 2mp3 2nnx 2r27 2v0a 2vr6 2vr7 2vr8 2wko 2wyt 2wyz 2wz0 2wz5 2wz6 2xjk 2xjl 2zkw 2zkx 2zky 3cqp 3cqq 3ecu 3ecv 3ecw 3gqf 3gtv 3gzo 3gzp 3gzq 3h2p 3h2q 3hff 3k91 3kh3 3kh4 3ltv 3qqd 3re0 3t5w 4a7g 4a7q 4a7s 4a7t 4a7u 4a7v 4b3e 4bcy 4bcz 4bd4 4ff9 4mcm 4mcn 4nin 4nio 4nip 4oh2 4sod
0,Complex II,succinate dehydrogenase succinate-coenzyme q reductase (sqr) respiratory complex ii enzyme complex bound inner mitochondrial membrane mammalian mitochondria many bacterial cells. it enzyme participates citric acid cycle electron transport chain.[1]
0,Adele Holness,"adele holness female dance/progressive house artist england lead vocalist ben shaw'2001 number one billboard hot dance music/club play track ""so strong"".[1]"
0,Adelodiscus,adelodiscus genus fungi helotiales order. the relationship taxon taxa within order unknown (incertae sedis) yet placed certainty family.[1] this monotypic genus containing single species adelodiscus philippinensis.
